title,cuisine,rating,reviewsCount,street,url,location/lat,location/lng
كشري الشيخ - koshary El Sheikh‏ (فرع سوق السيارات),Koshari restaurant,3.9,188,"محطه الجامع سوق السيارات، 79 Al Swissri Marhala B",https://www.google.com/maps/search/?api=1&query=%D9%83%D8%B4%D8%B1%D9%8A%20%D8%A7%D9%84%D8%B4%D9%8A%D8%AE%20-%20koshary%20El%20Sheikh%E2%80%8F%20(%D9%81%D8%B1%D8%B9%20%D8%B3%D9%88%D9%82%20%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA)&query_place_id=ChIJgaOEBbg9WBQRk9VjhWqUGAc,30.047566,31.3681621
"El Abd, Eastern Nasr city",Dessert restaurant,4.5,40,شارع Dr Ismail Wahbi,https://www.google.com/maps/search/?api=1&query=El%20Abd%2C%20Eastern%20Nasr%20city&query_place_id=ChIJqSj_j2Q9WBQRyU1CAdmfGXo,30.0526837,31.3689371
Shikh El Balad,Falafel restaurant,3.8,68,"29WG+9CX، شارع محطة المدرسه الحي العاشر قسم مدينه نصر",https://www.google.com/maps/search/?api=1&query=Shikh%20El%20Balad&query_place_id=ChIJ-7RIO8g9WBQRsRvJ4OMIQs8,30.0459979,31.3760956
Gad Restaurant,Egyptian restaurant,3.6,1514,88 El Merghany St,https://www.google.com/maps/search/?api=1&query=Gad%20Restaurant&query_place_id=ChIJTwJ8TyI-WBQRA69BUWDTeHc,30.084952,31.328647
PRODO Restaurant | برودو,Pizza restaurant,3.4,18,48 جامع الحاجة اسماء,https://www.google.com/maps/search/?api=1&query=PRODO%20Restaurant%20%7C%20%D8%A8%D8%B1%D9%88%D8%AF%D9%88&query_place_id=ChIJZQb5Yhc-WBQRI5p-Ukp_fnQ,30.0799528,31.3350308
Elsheme Restaurant,Restaurant,4,69,38G9+GV5,https://www.google.com/maps/search/?api=1&query=Elsheme%20Restaurant&query_place_id=ChIJBVb8fzc-WBQRUJrrzL28Owg,30.0762532,31.3197479
Garnell,Restaurant,4.4,794,21 Shams Al Din Al Zahabi,https://www.google.com/maps/search/?api=1&query=Garnell&query_place_id=ChIJOx02d1Q_WBQRibUC48DbCkE,30.0824795,31.3323877
Papa Johns Pizza,Pizza restaurant,4.1,205,"Heliopolis Club, Sayed Marghany Street, Mansheyat AlBakry Inside Helioplis Club",https://www.google.com/maps/search/?api=1&query=Papa%20Johns%20Pizza&query_place_id=ChIJ_ZX8uyw-WBQR-2mO0558jG8,30.0839714,31.3273919
Roastery Restaurant & Coffee,Izakaya restaurant,4.4,1243,"5 شارع سمير المختار متفرع من نبيل الوقاد أرض الجولف 5 شارع سمير المختار متفرع من نبيل الوقاد أرض الجولف 5 شارع سمير المختار متفرع من نبيل الوقاد، أرض",https://www.google.com/maps/search/?api=1&query=Roastery%20Restaurant%20%26%20Coffee&query_place_id=ChIJKwDSzBs-WBQRs49S7h_kJik,30.0819593,31.3375991
Tri-Cycle Burger,Hamburger restaurant,4.5,4,102 El-Sayed El-Merghany,https://www.google.com/maps/search/?api=1&query=Tri-Cycle%20Burger&query_place_id=ChIJe-N9CwA_WBQRJfv7GQBWuQ0,30.08559,31.331241
FOODS JAR,Fast food restaurant,3.4,10,22 Ahmed Tayseer,https://www.google.com/maps/search/?api=1&query=FOODS%20JAR&query_place_id=ChIJu6CAFrc_WBQREw0bLvBTmhU,30.0790754,31.3261162
(JOIA Sushi & Grill (Heliopolis,Sushi restaurant,4.3,437,22 Nabil Al Wakkad,https://www.google.com/maps/search/?api=1&query=(JOIA%20Sushi%20%26%20Grill%20(Heliopolis&query_place_id=ChIJ8Q5eSdo_WBQRn3AhzBDCrw4,30.0815798,31.3348851
Papa Johns Pizza,Pizza restaurant,4.1,26,"1 Ismail Al Qabanni, 6 El Tayaran St",https://www.google.com/maps/search/?api=1&query=Papa%20Johns%20Pizza&query_place_id=ChIJJeXgj4BBWBQRsd22QXzbmJw,30.0789588,31.31756
Nagoya Sushi,Sushi restaurant,4.2,209,17 Al Mahrouki,https://www.google.com/maps/search/?api=1&query=Nagoya%20Sushi&query_place_id=ChIJzVYkh-8_WBQRH96T92yVWcE,30.0827567,31.3215101
Ginger Restaurant ( Heliopolis),Japanese restaurant,4.2,95,10 El-Horeya,https://www.google.com/maps/search/?api=1&query=Ginger%20Restaurant%20(%20Heliopolis)&query_place_id=ChIJBURBqH8_WBQR3iRgv7OI-lY,30.0874489,31.3386217
Isabell Sushi,Sushi restaurant,4.3,23,6 Ibn Manzoor,https://www.google.com/maps/search/?api=1&query=Isabell%20Sushi&query_place_id=ChIJTXk1G9E_WBQRbnwMCY4ML84,30.0879848,31.3126477
